YEAR/MONTH;H_VIAXEIROS;H_NOITES;H_ESTAD_MEDIA;TR_VIAXEIROS;TR_NOITES;TR_ESTAD_MEDIA;DE_ONDE;PROVINCIA
2020/Xu–o;358;864;..;6;8;..;Residentes no estranxeiro;LUGO
2020/Xullo;2037;3161;..;155;219;..;Residentes no estranxeiro;LUGO
2020/Agosto;3836;6310;..;438;821;..;Residentes no estranxeiro;LUGO
2020/Setembro;2456;4481;..;184;233;..;Residentes no estranxeiro;LUGO
2020/Outubro;1538;3214;..;84;170;..;Residentes no estranxeiro;LUGO
2020/Novembro;517;1705;..;..;..;..;Residentes no estranxeiro;LUGO
2020/Decembro;414;1327;..;0;0;..;Residentes no estranxeiro;LUGO
2021/Xaneiro;472;1723;..;2;6;..;Residentes no estranxeiro;LUGO
2021/Febreiro;357;1848;..;0;0;..;Residentes no estranxeiro;LUGO
2021/Marzo;611;2084;..;25;33;..;Residentes no estranxeiro;LUGO
2021/Abril;709;1528;..;24;63;..;Residentes no estranxeiro;LUGO
2021/Maio;2105;2908;..;143;220;..;Residentes no estranxeiro;LUGO
2021/Xu–o;4033;5132;..;303;391;..;Residentes no estranxeiro;LUGO
2021/Xullo;8789;11481;..;588;1187;..;Residentes no estranxeiro;LUGO
2021/Agosto;10047;12694;..;1356;2459;..;Residentes no estranxeiro;LUGO
2021/Setembro;14884;18241;..;2050;2282;..;Residentes no estranxeiro;LUGO
2021/Outubro;12560;15093;..;1059;1273;..;Residentes no estranxeiro;LUGO
2021/Novembro;3302;5079;..;281;314;..;Residentes no estranxeiro;LUGO
2021/Decembro;1389;2910;..;118;217;..;Residentes no estranxeiro;LUGO
2022/Xaneiro;1028;2673;..;29;48;..;Residentes no estranxeiro;LUGO
2022/Febreiro;1652;3342;..;22;47;..;Residentes no estranxeiro;LUGO
2022/Marzo;4318;6886;..;34;52;..;Residentes no estranxeiro;LUGO
2022/Abril;12083;15197;..;1235;1657;..;Residentes no estranxeiro;LUGO
2022/Maio;25110;29666;..;2413;2656;..;Residentes no estranxeiro;LUGO
2022/Xu–o;24760;29581;..;2062;2337;..;Residentes no estranxeiro;LUGO
2022/Xullo;19315;24848;..;2182;3596;..;Residentes no estranxeiro;LUGO
2022/Agosto;17783;23253;..;2957;5127;..;Residentes no estranxeiro;LUGO
2022/Setembro;32015;38779;..;2515;3060;..;Residentes no estranxeiro;LUGO
2022/Outubro;21110;24583;..;1988;2259;..;Residentes no estranxeiro;LUGO
2022/Novembro;4270;6786;..;352;370;..;Residentes no estranxeiro;LUGO
2022/Decembro;2013;4306;..;61;142;..;Residentes no estranxeiro;LUGO
2023/Xaneiro;1948;3409;..;41;47;..;Residentes no estranxeiro;LUGO
2023/Febreiro;2024;4009;..;10;10;..;Residentes no estranxeiro;LUGO
2023/Marzo;5860;7692;..;92;106;..;Residentes no estranxeiro;LUGO
2023/Abril;18348;21885;..;773;1005;..;Residentes no estranxeiro;LUGO
2023/Maio;35227;40952;..;1324;1548;..;Residentes no estranxeiro;LUGO
2023/Xu–o;30936;39296;..;1134;1688;..;Residentes no estranxeiro;LUGO
2023/Xullo;18714;23846;..;1363;2604;..;Residentes no estranxeiro;LUGO
2023/Agosto;20194;28611;..;1922;4722;..;Residentes no estranxeiro;LUGO
2023/Setembro;37566;47099;..;1492;2319;..;Residentes no estranxeiro;LUGO
2023/Outubro;23645;28392;..;748;1085;..;Residentes no estranxeiro;LUGO
2023/Novembro;4852;7287;..;172;262;..;Residentes no estranxeiro;LUGO
2023/Decembro;2617;5487;..;49;160;..;Residentes no estranxeiro;LUGO
2017/Xaneiro;17459;30484;1,8;1273;1864;1,5;Todas as procedencias;OURENSE
2017/Febreiro;20032;34319;1,7;1518;2379;1,6;Todas as procedencias;OURENSE
2017/Marzo;22045;41573;1,9;1713;2527;1,5;Todas as procedencias;OURENSE
2017/Abril;28472;59886;2,1;2889;5140;1,8;Todas as procedencias;OURENSE
2017/Maio;25597;48880;1,9;1967;3393;1,7;Todas as procedencias;OURENSE
2017/Xu–o;28428;54875;1,9;2123;3450;1,6;Todas as procedencias;OURENSE
2017/Xullo;31758;62529;2;3792;6827;1,8;Todas as procedencias;OURENSE
2017/Agosto;40065;83078;2,1;5031;11102;2,2;Todas as procedencias;OURENSE
2017/Setembro;31341;64717;2,1;3037;4757;1,6;Todas as procedencias;OURENSE
2017/Outubro;28347;58491;2,1;2641;4389;1,7;Todas as procedencias;OURENSE
2017/Novembro;23240;46118;2;1797;2658;1,5;Todas as procedencias;OURENSE
2017/Decembro;20234;35555;1,8;1864;3470;1,9;Todas as procedencias;OURENSE
2018/Xaneiro;18507;29057;1,6;1621;2329;1,4;Todas as procedencias;OURENSE
2018/Febreiro;22205;37221;1,7;2464;4119;1,7;Todas as procedencias;OURENSE
2018/Marzo;29411;53738;1,8;3188;5490;1,7;Todas as procedencias;OURENSE
2018/Abril;26477;50687;1,9;2249;3863;1,7;Todas as procedencias;OURENSE
2018/Maio;28069;51618;1,8;2459;3636;1,5;Todas as procedencias;OURENSE
2018/Xu–o;28907;56579;2;2784;4476;1,6;Todas as procedencias;OURENSE
2018/Xullo;31495;61514;2;3866;7381;1,9;Todas as procedencias;OURENSE
2018/Agosto;40935;81936;2;6094;13114;2,2;Todas as procedencias;OURENSE
2018/Setembro;34740;66028;1,9;3221;5184;1,6;Todas as procedencias;OURENSE
2018/Outubro;31998;60513;1,9;2839;4737;1,7;Todas as procedencias;OURENSE
2018/Novembro;26405;50539;1,9;2367;3820;1,6;Todas as procedencias;OURENSE
2018/Decembro;22691;38828;1,7;2145;3814;1,8;Todas as procedencias;OURENSE
2019/Xaneiro;17723;30825;1,7;1487;2159;1,5;Todas as procedencias;OURENSE
2019/Febreiro;20659;36019;1,7;1755;2727;1,6;Todas as procedencias;OURENSE
2019/Marzo;28199;51213;1,8;2262;3653;1,6;Todas as procedencias;OURENSE
2019/Abril;31588;58394;1,9;2969;5790;2;Todas as procedencias;OURENSE
2019/Maio;29221;54254;1,9;2525;4242;1,7;Todas as procedencias;OURENSE
2019/Xu–o;30092;55749;1,9;2999;4898;1,6;Todas as procedencias;OURENSE
2019/Xullo;35299;66950;1,9;3788;7348;1,9;Todas as procedencias;OURENSE
2019/Agosto;45036;92197;2,1;6145;13753;2,2;Todas as procedencias;OURENSE
2019/Setembro;35969;69894;1,9;3410;6022;1,8;Todas as procedencias;OURENSE
2019/Outubro;32774;60946;1,9;2603;4194;1,6;Todas as procedencias;OURENSE
2019/Novembro;28424;56908;2;1880;2979;1,6;Todas as procedencias;OURENSE
2019/Decembro;24920;45097;1,8;1919;3295;1,7;Todas as procedencias;OURENSE
2020/Xaneiro;19617;32828;1,7;1385;2001;1,4;Todas as procedencias;OURENSE
2020/Febreiro;26351;44518;1,7;1752;2988;1,7;Todas as procedencias;OURENSE
2020/Marzo;15372;31566;2,1;405;587;1,5;Todas as procedencias;OURENSE
2020/Abril;0;0;0;..;..;..;Todas as procedencias;OURENSE
2020/Maio;892;3050;3,4;..;..;..;Todas as procedencias;OURENSE
2020/Xu–o;8299;15658;1,9;837;1247;1,5;Todas as procedencias;OURENSE
2020/Xullo;19355;38739;2;3371;7094;2,1;Todas as procedencias;OURENSE
2020/Agosto;31359;64824;2,1;5957;13795;2,3;Todas as procedencias;OURENSE
2020/Setembro;20636;38862;1,9;2667;4871;1,8;Todas as procedencias;OURENSE
2020/Outubro;12469;24693;2;1381;2619;1,9;Todas as procedencias;OURENSE
2020/Novembro;7879;15257;1,9;371;670;..;Todas as procedencias;OURENSE
2020/Decembro;9478;17841;1,9;359;539;1,5;Todas as procedencias;OURENSE
2021/Xaneiro;7266;13954;1,9;332;527;1,6;Todas as procedencias;OURENSE
2021/Febreiro;6675;13347;2;87;163;1,9;Todas as procedencias;OURENSE
2021/Marzo;12788;21495;1,7;943;1511;1,6;Todas as procedencias;OURENSE
2021/Abril;15741;27190;1,7;1630;2582;1,6;Todas as procedencias;OURENSE
2021/Maio;18306;32475;1,8;2153;3395;1,6;Todas as procedencias;OURENSE
2021/Xu–o;21416;39214;1,8;2559;4274;1,7;Todas as procedencias;OURENSE
2021/Xullo;31908;61734;1,9;5130;11449;2,2;Todas as procedencias;OURENSE
2021/Agosto;43368;86406;2;6911;16630;2,4;Todas as procedencias;OURENSE
2021/Setembro;31983;60421;1,9;4217;7748;1,8;Todas as procedencias;OURENSE
2021/Outubro;30796;58777;1,9;3709;6556;1,8;Todas as procedencias;OURENSE
2021/Novembro;22914;40164;1,8;2144;3717;1,7;Todas as procedencias;OURENSE
2021/Decembro;21012;36208;1,7;2024;3436;1,7;Todas as procedencias;OURENSE
2022/Xaneiro;14284;24325;1,7;1020;1453;1,4;Todas as procedencias;OURENSE
2022/Febreiro;21714;36608;1,7;1469;2209;1,5;Todas as procedencias;OURENSE
2022/Marzo;21550;40587;1,9;1265;1902;1,5;Todas as procedencias;OURENSE
2022/Abril;29707;56388;1,9;3096;6175;2;Todas as procedencias;OURENSE
2022/Maio;29434;58151;2;2779;4358;1,6;Todas as procedencias;OURENSE
2022/Xu–o;31665;60651;1,9;2926;4905;1,7;Todas as procedencias;OURENSE
2022/Xullo;32851;65433;2;4720;9286;2;Todas as procedencias;OURENSE
2022/Agosto;45643;94155;2,1;5717;13438;2,4;Todas as procedencias;OURENSE
