"Destinos","Indicadores","Orixe dos viaxeiros","CodTempo","Tempo","DatoN","DatoT"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2021,"2021",479,"479"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2022,"2022",685,"685"
"Costa da Morte","Indicador Costa","Fóra de Galicia",2023,"2023",754,"754"
"Costa da Morte","Indicador Poboación (1)","Todas",2011,"2011",0.48,"0,48"
"Costa da Morte","Indicador Poboación (1)","Todas",2017,"2017",1.00,"1,00"
"Costa da Morte","Indicador Poboación (1)","Todas",2018,"2018",0.80,"0,80"
"Costa da Morte","Indicador Poboación (1)","Todas",2019,"2019",0.88,"0,88"
"Costa da Morte","Indicador Poboación (1)","Todas",2020,"2020",0.53,"0,53"
"Costa da Morte","Indicador Poboación (1)","Todas",2021,"2021",0.93,"0,93"
"Costa da Morte","Indicador Poboación (1)","Todas",2022,"2022",1.24,"1,24"
"Costa da Morte","Indicador Poboación (1)","Todas",2023,"2023",1.33,"1,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2011,"2011",0.33,"0,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2017,"2017",0.71,"0,71"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2018,"2018",0.59,"0,59"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2019,"2019",0.62,"0,62"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2020,"2020",0.33,"0,33"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2021,"2021",0.60,"0,60"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2022,"2022",0.87,"0,87"
"Costa da Morte","Indicador Poboación (1)","Fóra de Galicia",2023,"2023",0.96,"0,96"
"Costa da Morte","Indicador Poboación (2)","Todas",2011,"2011",1.76,"1,76"
"Costa da Morte","Indicador Poboación (2)","Todas",2017,"2017",3.66,"3,66"
"Costa da Morte","Indicador Poboación (2)","Todas",2018,"2018",2.93,"2,93"
"Costa da Morte","Indicador Poboación (2)","Todas",2019,"2019",3.21,"3,21"
"Costa da Morte","Indicador Poboación (2)","Todas",2020,"2020",1.95,"1,95"
"Costa da Morte","Indicador Poboación (2)","Todas",2021,"2021",3.40,"3,40"
"Costa da Morte","Indicador Poboación (2)","Todas",2022,"2022",4.53,"4,53"
"Costa da Morte","Indicador Poboación (2)","Todas",2023,"2023",4.85,"4,85"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2011,"2011",1.19,"1,19"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2017,"2017",2.59,"2,59"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2018,"2018",2.14,"2,14"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2019,"2019",2.28,"2,28"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2020,"2020",1.22,"1,22"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2021,"2021",2.18,"2,18"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2022,"2022",3.19,"3,19"
"Costa da Morte","Indicador Poboación (2)","Fóra de Galicia",2023,"2023",3.52,"3,52"
"Costa da Morte","Indicador Estacional (1)","Todas",2011,"2011",52.3,"52,3"
"Costa da Morte","Indicador Estacional (1)","Todas",2017,"2017",37.6,"37,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2018,"2018",49.1,"49,1"
"Costa da Morte","Indicador Estacional (1)","Todas",2019,"2019",47.9,"47,9"
"Costa da Morte","Indicador Estacional (1)","Todas",2020,"2020",69.4,"69,4"
"Costa da Morte","Indicador Estacional (1)","Todas",2021,"2021",54.6,"54,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2022,"2022",45.6,"45,6"
"Costa da Morte","Indicador Estacional (1)","Todas",2023,"2023",42.5,"42,5"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2011,"2011",57.9,"57,9"
"Costa da Morte","Indicador Estacional (1)","Fóra de Galicia",2017,"2017",50.7,"50,7"
