"Destinos,""Indicadores"",""Orixe dos viaxeiros"",""CodTempo"",""Tempo"",""DatoN"",""DatoT"""
"Deza - Tabeir—s,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",30.8,""30,8"""
"Ferrolterra,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",41.6,""41,6"""
"Lugo e a Terra Ch‡,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",30.3,""30,3"""
"Manzaneda - Trevinca,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",32.9,""32,9"""
"Mari–a Lucense,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",57.0,""57,0"""
"O Ribeiro,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",25.4,""25,4"""
"R’a de Arousa,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",49.3,""49,3"""
"R’a de Muros e Noia,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",71.3,""71,3"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",37.9,""37,9"""
"R’a e Terras de Pontevedra,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",42.0,""42,0"""
"Ribeira Sacra,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",35.1,""35,1"""
"Terras de Ourense e Allariz,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",25.7,""25,7"""
"Terras de Santiago,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",30.3,""30,3"""
"Ver’n - Viana,""Indicador Estacional (1)"",""F—ra de Galicia"",2011,""2011"",29.9,""29,9"""
"Galicia,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"A Coru–a e As Mari–as,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ancares - Courel,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Celanova - Limia,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Costa da Morte,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Deza - Tabeir—s,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ferrolterra,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Lugo e a Terra Ch‡,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Manzaneda - Trevinca,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Mari–a Lucense,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"O Ribeiro,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"R’a de Arousa,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"R’a de Muros e Noia,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"R’a de Vigo e Baixo Mi–o,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"R’a e Terras de Pontevedra,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ribeira Sacra,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Terras de Ourense e Allariz,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Terras de Santiago,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Ver’n - Viana,""Indicador Estacional (2)"",""F—ra de Galicia"",2011,""2011"",,""-"""
"Galicia,""Noites"",""Todas"",2012,""2012"",7946701,""7.946.701"""
