year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,182,34,Marine finfishes not identified,Finfishes,100139,0.0143698833842288,Marine_finfishes_not_identified-34
1950,182,34,Marine fishes not identified,Marine fishes nei,100039,444.50213452574,Marine_fishes_not_identified-34
1950,182,34,Melicertus kerathurus,Caramote prawn,690070,0.00816881794958015,Melicertus_kerathurus-34
1950,182,34,Merluccius,Hakes,500654,5.73745509912611,Merluccius-34
1950,182,34,Merluccius merluccius,European hake,600030,12.8545148281998,Merluccius_merluccius-34
1950,182,34,Micromesistius poutassou,Blue whiting,600031,0.082814161284167,Micromesistius_poutassou-34
1950,182,34,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,14.9327530621276,Miscellaneous_aquatic_invertebrates-34
1950,182,34,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,0.122150238107313,Miscellaneous_marine_crustaceans-34
1950,182,34,Mollusca,"Clams, seasnails, squids, octopuses",190195,0.00104724738130498,Mollusca-34
1950,182,34,Mugilidae,"Mullets, grey mullets",400359,0.00214905238978895,Mugilidae-34
1950,182,34,Mullus,Atlantic goatfishes,500143,0.414137316976687,Mullus-34
1950,182,34,Mullus barbatus barbatus,Red mullet,600790,0.197461612745441,Mullus_barbatus_barbatus-34
1950,182,34,Mullus surmuletus,Surmullet,601327,1.36333936783632,Mullus_surmuletus-34
1950,182,34,Mytilus galloprovincialis,Mediterranean mussel,690241,2.0250905002149e-4,Mytilus_galloprovincialis-34
1950,182,34,Nephrops norvegicus,Norway lobster,690273,8.97814783510653e-5,Nephrops_norvegicus-34
1950,182,34,Oblada melanura,Saddled seabream,600850,4.3203313277032e-4,Oblada_melanura-34
1950,182,34,Octopoda,"Octopuses, argonauts",390007,83.3321349969985,Octopoda-34
1950,182,34,Octopodidae,Octopuses,490012,0.00489655138786907,Octopodidae-34
1950,182,34,Octopus vulgaris,Common octopus,690088,0.0851568603524935,Octopus_vulgaris-34
1950,182,34,Orcynopsis unicolor,Plain bonito,600108,0.242354937448526,Orcynopsis_unicolor-34
1950,182,34,Pagellus,Pandoras,501145,0.0893435561105069,Pagellus-34
1950,182,34,Pagellus acarne,Axillary seabream,600889,1.19873792689599,Pagellus_acarne-34
1950,182,34,Pagellus bogaraveo,Blackspot seabream,600890,5.51066327153055e-5,Pagellus_bogaraveo-34
1950,182,34,Pagellus erythrinus,Common pandora,600893,3.2563922610058e-4,Pagellus_erythrinus-34
1950,182,34,Pagrus,Subtropical seabreams,500903,1.57326200010328e-5,Pagrus-34
1950,182,34,Pagrus auriga,Redbanded seabream,605066,0.00228257554317851,Pagrus_auriga-34
1950,182,34,Pagrus caeruleostictus,Bluespotted seabream,604540,0.0615690102928637,Pagrus_caeruleostictus-34
1950,182,34,Pagrus pagrus,Red porgy,601756,0.145461424482285,Pagrus_pagrus-34
1950,182,34,Palinuridae,Spiny lobsters,490039,0.102185781960568,Palinuridae-34
1950,182,34,Palinurus,Spiny lobsters,590082,9.68388207305924e-7,Palinurus-34
1950,182,34,Parapenaeus longirostris,Deepwater rose shrimp,690109,2.66430259476203,Parapenaeus_longirostris-34
1950,182,34,Peristediidae,"Armored searobins, gurnards",400581,0.330154473138296,Peristediidae-34
1950,182,34,Phycis,"Gunnels, forkbeards",509303,0.0020750693494686,Phycis-34
1950,182,34,Phycis blennoides,Greater forkbeard,601340,4.27028429419395e-5,Phycis_blennoides-34
1950,182,34,Phycis phycis,Forkbeard,601747,0.00185713167618448,Phycis_phycis-34
1950,182,34,Plectorhinchus mediterraneus,Rubberlip grunt,600398,0.00397552235281356,Plectorhinchus_mediterraneus-34
1950,182,34,Pleuronectiformes,Flatfishes,300061,0.322072181701868,Pleuronectiformes-34
1950,182,34,Pomatomus saltatrix,Bluefish,600364,1.15092196558598,Pomatomus_saltatrix-34
1950,182,34,Prionace glauca,Blue shark,600898,8.54852097127376e-7,Prionace_glauca-34
1950,182,34,Pteriomorphia,"Clams, cockles, arkshells",290056,1.64728520872108,Pteriomorphia-34
1950,182,34,Raja,"Stingrays, skates",500108,0.0618198926356755,Raja-34
1950,182,34,Rajiformes,Skates and rays,300014,8.77294159420505e-6,Rajiformes-34
1950,182,34,Ruditapes decussatus,Grooved carpet shell,690166,1.514834718167e-4,Ruditapes_decussatus-34
1950,182,34,Sarda sarda,Atlantic bonito,600115,2.7429754987405,Sarda_sarda-34
1950,182,34,Sardina pilchardus,European pilchard,601350,602.141284944124,Sardina_pilchardus-34
1950,182,34,Sardinella,Sardinellas,501940,0.01627744341059,Sardinella-34
1950,182,34,Sardinella aurita,Round sardinella,601043,0.686124614895862,Sardinella_aurita-34
1950,182,34,Sarpa salpa,Salema,600204,4.90087164192854e-5,Sarpa_salpa-34
1950,182,34,Sciaenidae,"Drums, croakers",400331,0.0171856932411876,Sciaenidae-34
1950,182,34,Scomber,Chub mackerels,500142,0.197307462761296,Scomber-34
1950,182,34,Scomber colias,Atlantic chub mackerel,654736,0.548393352944927,Scomber_colias-34
1950,182,34,Scomberomorus,Spanish mackerels,500487,0.905128108557974,Scomberomorus-34
