ANO,MES,PROVINCIA,RAMA,REXIME,AFILIACIONS
2009,Decembro,Lugo,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,4426
2009,Decembro,Lugo,Servizos de comidas e bebidas,Réxime de autónomos,2868
2009,Decembro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,81
2009,Decembro,Ourense,"Actividades de axencias de viaxes, operadores turísticos, servizos de reservas e actividades relacionadas con estes",Réxime de autónomos,31
2009,Decembro,Ourense,"Agricultura, gandeiría e pesca",Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,1241
2009,Decembro,Ourense,"Agricultura, gandeiría e pesca",Réxime de autónomos,4493
2009,Decembro,Ourense,Construción,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,7900
2009,Decembro,Ourense,Construción,Réxime de autónomos,4848
2009,Decembro,Ourense,Industria e enerxía,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,14091
2009,Decembro,Ourense,Industria e enerxía,Réxime de autónomos,2487
2009,Decembro,Ourense,Non clasificados,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,957
2009,Decembro,Ourense,Non clasificados,Réxime de autónomos,0
2009,Decembro,Ourense,Resto de servizos,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,47724
2009,Decembro,Ourense,Resto de servizos,Réxime de autónomos,12353
2009,Decembro,Ourense,Servizos de aloxamento,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,778
2009,Decembro,Ourense,Servizos de aloxamento,Réxime de autónomos,137
2009,Decembro,Ourense,Servizos de comidas e bebidas,Réxime Xeral (excl. Fogar e Agrario) e Minería do carbón,3542
