"year","catch","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","species"
2019,549.33,1.1317238141938,1.3459128075204,1.47898804164977,1.64582549325277,1.90295443331145,0.204873335766869,1.49688264530456,"Ensis magnus"
2020,2.2,0.672135396686649,0.872491701397675,1.03039308098184,1.22096639154846,1.45924965030126,0.22042317201362,1.04684020272563,"Ensis magnus"
2020,441.82,1.02999208344178,1.23136940457541,1.42282143105738,1.66080543076923,1.91456879037164,0.255542109736184,1.44635567326673,"Ensis magnus"
2021,6.33,0.736500457972161,0.932616792383224,1.14289905429735,1.36032636814365,1.57712904811993,0.248190927794739,1.14748934882497,"Ensis magnus"
2021,476.47,1.05007941936811,1.27998726375723,1.54575918506565,1.76096352477173,1.95456874489496,0.27211968047519,1.52297552822857,"Ensis magnus"
2022,12.77,0.724733465213875,0.908492971998486,1.15537316608292,1.34847633254045,1.54690742328122,0.248310493766101,1.1361360862815,"Ensis magnus"
2022,520.51,0.986584515237958,1.25648222095061,1.55351302130441,1.73527776781235,1.93744071448351,0.281018920261881,1.50243840399718,"Ensis magnus"
2006,6.9,0.967166929124535,1.16253845650448,1.37476209298031,1.58648908456178,1.81067229565402,0.250392602706626,1.37624236227076,"Phycis phycis"
2006,17.1,1.05840739421809,1.31840453736587,1.49890113087735,1.67576289674364,1.92108999222609,0.234885667761635,1.49450639786154,"Phycis phycis"
2007,13.8,1.14660294379118,1.4082244120868,1.55581225279589,1.70606031577611,1.90710041511203,0.201075092130148,1.5510880104691,"Phycis phycis"
2007,15,1.25571259827167,1.49736737688551,1.62634333703406,1.73686665663799,1.92328445076732,0.17566126897301,1.61374434502785,"Phycis phycis"
2008,15,1.32114473829299,1.55603430053481,1.66287014163585,1.77803160956273,1.94299847564869,0.159213836079657,1.65835935564124,"Phycis phycis"
2008,23,1.39630992164225,1.6008377675537,1.70366407385965,1.79585996197015,1.9481264274818,0.142620816272767,1.69444870106459,"Phycis phycis"
2009,26.1,1.41672982992574,1.59996629793791,1.69675610818467,1.78390878080104,1.92841529358885,0.133187211696224,1.68984520635472,"Phycis phycis"
2009,21.1,1.4230829457749,1.58681073629305,1.67705894235339,1.75918131543491,1.9165305161612,0.124236535081674,1.67423155949058,"Phycis phycis"
2010,60.6,1.45980944813823,1.60193736878491,1.6961819441499,1.77189869254328,1.92761728327925,0.121417049643602,1.69062713984783,"Phycis phycis"
2010,40.9,1.30793457654402,1.45138936178777,1.52875530207223,1.60429301267566,1.74840733988582,0.111935314639262,1.5287653986125,"Phycis phycis"
2011,117.53,1.29645612184944,1.4184131997805,1.4900298565805,1.56560847760648,1.71674296203873,0.105840024682645,1.49192556100955,"Phycis phycis"
2011,40.49,0.942200233317517,1.04484837148234,1.10749122071089,1.17304191327028,1.2967918834279,0.0919713298780911,1.11043340975776,"Phycis phycis"
2012,87.65,0.963199241160887,1.0597270878119,1.11282645834234,1.17436979430535,1.29783635827176,0.0847624762912775,1.11792087656789,"Phycis phycis"
2012,32.93,0.77850855129869,0.861741533151811,0.908352974025933,0.957595297049992,1.06438851846282,0.0734591015987454,0.911867807932568,"Phycis phycis"
2013,116.56,0.833466494926765,0.905602982391474,0.945979986272064,0.991417709598135,1.08452284742741,0.0642282897424453,0.950218968357394,"Phycis phycis"
